parc	rep	bl	trt	trt_id	row	col	GY_SR_FI	GY_SR_MWS	GY_C_SWS
1	1	1	275	275	1	1	10517	7642	1322
2	1	1	325	325	1	2	8104.5	7122.5	1267
3	1	1	119	119	1	3	11051	8793.5	1482
4	1	1	138	138	1	4	9917.5	9546.5	2255
5	1	1	296	296	1	5	10415	7146.5	1496
6	1	1	257	257	1	6	9567.5	7261.5	1643
7	1	1	50	50	1	7	10723.5	8769.5	1357
8	1	1	150	150	1	8	9887.5	9425.5	2515
9	1	1	400	279	1	9	11589	7129.5	2160
10	1	1	168	168	1	10	11197	9404	3018.5
11	1	1	221	221	1	11	10562	6776.5	1982
12	1	1	97	97	1	12	10323.5	6979	1876
13	1	1	1	1	1	13	11268.5	7679	1949
14	1	1	237	237	1	14	10570.5	7717.5	2452
15	1	1	269	269	1	15	9448.5	8413.5	3054.5
16	1	1	134	134	1	16	11738	7832	3478
17	1	1	155	155	1	17	9838	7621.5	NA
18	1	1	253	253	1	18	8732	7414	3566
19	1	1	122	122	1	19	10484	8478	3829
20	1	1	77	77	1	20	11609	8343.5	2740.5
21	1	2	295	295	2	20	7651	8167	2360
22	1	2	69	69	2	19	10246.5	9219.5	1893
23	1	2	290	290	2	18	8911	9678.5	1678
24	1	2	352	352	2	17	10458	8804.5	2135.5
25	1	2	387	278	2	16	9464.5	9130.5	3723
26	1	2	277	277	2	15	10029	8761	2995
27	1	2	123	123	2	14	10682	9908.5	NA
28	1	2	393	279	2	13	11611.5	9326.5	2668
29	1	2	347	347	2	12	11241.5	9953.5	3399.5
30	1	2	175	175	2	11	10261	9294	4269.5
31	1	2	153	153	2	10	9212	8239.5	1802
32	1	2	243	243	2	9	10241.5	9353.5	3415.5
33	1	2	178	178	2	8	10191.5	10299	4268
34	1	2	145	145	2	7	10437.5	10119	4080.5
35	1	2	228	228	2	6	10037.5	8949.5	2202
36	1	2	326	326	2	5	7940.5	7928	2663
37	1	2	137	137	2	4	9126	9761.5	3726.5
38	1	2	217	217	2	3	9686	9714.5	2172.5
39	1	2	48	48	2	2	8329.5	10559.5	2816
40	1	2	369	369	2	1	11157	10192	2764
41	1	3	29	29	3	1	10725	11421.5	2264
42	1	3	100	100	3	2	10694.5	12178	2026
43	1	3	297	297	3	3	7715.5	13208.5	2974
44	1	3	246	246	3	4	9038.5	8942	2783
45	1	3	247	247	3	5	9275	9830	3117
46	1	3	113	113	3	6	9025.5	9719	2551.5
47	1	3	51	51	3	7	8870	9734.5	2788
48	1	3	305	305	3	8	8277	9093.5	3081
49	1	3	11	11	3	9	10467	11466.5	1556
50	1	3	391	278	3	10	9235.5	10573	3167
51	1	3	163	163	3	11	9642.5	10825.5	1970.5
52	1	3	141	141	3	12	9637	9995	2340.5
53	1	3	179	179	3	13	10342.5	10988.5	2484.5
54	1	3	307	307	3	14	9580	9663.5	2579
55	1	3	79	79	3	15	10031.5	10577	3683.5
56	1	3	126	126	3	16	10553.5	9516	2556
57	1	3	301	301	3	17	8059.5	7723	2730.5
58	1	3	291	291	3	18	8660.5	9071	2796
59	1	3	279	279	3	19	10601.5	9389	2084
60	1	3	258	258	3	20	6715	8600	2194.5
61	1	4	166	166	4	20	9090	9618	2954.5
62	1	4	95	95	4	19	9690	10160.5	3642
63	1	4	262	262	4	18	10306.5	10150	2669
64	1	4	324	324	4	17	9445	8093.5	2353
65	1	4	327	327	4	16	8830	8543.5	1888.5
66	1	4	304	304	4	15	9313.5	8914	2858
67	1	4	87	87	4	14	11818.5	10277.5	3449.5
68	1	4	59	59	4	13	10284.5	10932	4292
69	1	4	388	278	4	12	9665.5	10029	4203.5
70	1	4	83	83	4	11	9260.5	7848	2655
71	1	4	194	194	4	10	10941.5	10832.5	3415.5
72	1	4	318	318	4	9	10866.5	10281	3019
73	1	4	261	261	4	8	10994	9673	2533.5
74	1	4	99	99	4	7	10585	9193.5	2079.5
75	1	4	65	65	4	6	9414.5	9912	3253.5
76	1	4	357	357	4	5	9369.5	7798.5	2908
77	1	4	316	316	4	4	8723.5	7904.5	2725
78	1	4	209	209	4	3	9744	10560.5	2843.5
79	1	4	152	152	4	2	10216	11183	3818
80	1	4	276	276	4	1	10267.5	9910	3229
81	1	5	343	343	5	1	12168	9636.5	3760
82	1	5	63	63	5	2	11321.5	9774	5414.5
83	1	5	70	70	5	3	9690.5	9422	3839.5
84	1	5	94	94	5	4	10107	8439	3854
85	1	5	30	30	5	5	10702	9550.5	3551
86	1	5	202	202	5	6	5100.5	5532	1749.5
87	1	5	289	289	5	7	9700	7980.5	2378
88	1	5	220	220	5	8	9696	8393	2373
89	1	5	35	35	5	9	10723	8951.5	3609
90	1	5	213	213	5	10	10212.5	8700	3061.5
91	1	5	147	147	5	11	8912.5	9253.5	3344.5
92	1	5	2	2	5	12	11704.5	10787.5	3918
93	1	5	218	218	5	13	8707	7980	2713
94	1	5	203	203	5	14	11891	9900	3030
95	1	5	380	380	5	15	10867.5	8019.5	2293
96	1	5	110	110	5	16	10222	9507	2643
97	1	5	386	278	5	17	11591	10394.5	3631
98	1	5	248	248	5	18	8062	7755.5	1880
99	1	5	303	303	5	19	9573	9505.5	2389
100	1	5	43	43	5	20	11386.5	9587	2336.5
101	1	6	395	279	6	20	11297	8544.5	3001.5
102	1	6	232	232	6	19	9670.5	9852	3951
