Trial,rep,col,row,yield,geno
08CM,1,1,1,1.22,G001
08CM,1,1,2,2.02,G002
08CM,1,1,3,1.49,G003
08CM,1,1,4,1.499,G004
08CM,1,1,5,1.903,G005
08CM,1,1,6,3.066,G006
08CM,1,1,7,1.782,G007
08CM,1,1,8,0.982,G008
08CM,1,1,9,2.04,G009
08CM,1,1,10,1.659,G010
08CM,1,1,11,2.281,G011
08CM,1,1,12,2.231,G012
08CM,1,1,13,3.442,G013
08CM,1,1,14,2.804,G014
08CM,1,1,15,3.029,G015
08CM,1,1,16,3.103,G016
08CM,1,1,17,4.035,G017
08CM,1,1,18,2.58,G018
08CM,1,1,19,2.934,G019
08CM,1,1,20,3.123,G020
08CM,1,1,21,1.484,G021
08CM,1,1,22,2.033,G022
08CM,1,1,24,3.393,G023
08CM,1,1,25,2.02,G024
08CM,1,1,26,2.692,G025
08CM,1,2,1,2.292,G026
08CM,1,2,2,2.723,G027
08CM,1,2,3,1.73,G028
08CM,1,2,4,2.578,G029
08CM,1,2,5,2.385,G030
08CM,1,2,6,1.96,G031
08CM,1,2,7,2.18,G032
08CM,1,2,8,1.644,G033
08CM,1,2,9,1.807,G034
08CM,1,2,10,0.67,G035
08CM,1,2,11,1.848,G036
08CM,1,2,12,1.519,G037
08CM,1,2,13,3.295,G038
08CM,1,2,14,2.631,G039
08CM,1,2,15,2.741,G040
08CM,1,2,16,2.646,G041
08CM,1,2,17,1.646,G042
08CM,1,2,18,2.536,G043
08CM,1,2,19,1.932,G044
08CM,1,2,20,2.306,G045
08CM,1,2,21,1.791,G046
08CM,1,2,22,2.128,G047
08CM,1,2,23,1.407,G048
08CM,1,2,24,1.982,G049
08CM,1,2,25,2.117,G050
08CM,1,2,26,2.13,G051
08CM,1,3,1,2.62,G052
08CM,1,3,2,2.853,G053
08CM,1,3,3,2.971,G054
08CM,1,3,4,2.328,G055
08CM,1,3,5,2.53,G056
08CM,1,3,6,2.295,G057
08CM,1,3,7,1.982,G058
08CM,1,3,8,2.244,G059
08CM,1,3,9,2.07,G060
08CM,1,3,10,1.532,G061
08CM,1,3,11,2.073,G062
08CM,1,3,12,2.971,G063
08CM,1,3,13,1.343,G064
08CM,1,3,14,3.134,G065
08CM,1,3,15,2.158,G066
08CM,1,3,16,2.6,G067
08CM,1,3,17,2.369,G068
08CM,1,3,18,2.084,G069
08CM,1,3,19,1.774,G070
08CM,1,3,20,2.242,G071
08CM,1,3,21,2.4,G072
08CM,1,3,22,2.681,G073
08CM,1,3,23,2.156,G074
08CM,1,3,24,2.152,G075
08CM,1,3,25,3.167,G076
08CM,1,3,26,2.541,G077
08CM,1,4,1,1.154,G078
08CM,1,4,2,2.906,G079
08CM,1,4,3,2.339,G080
08CM,1,4,4,2.653,G081
08CM,1,4,5,2.16,G082
08CM,1,4,6,3,G083
08CM,1,4,7,2.207,G084
08CM,1,4,8,2.677,G085
08CM,1,4,9,2.429,G086
08CM,1,4,10,1.939,G087
08CM,1,4,11,2.919,G088
08CM,1,4,12,2.475,G089
08CM,1,4,13,3.011,G090
08CM,1,4,14,2.319,G091
08CM,1,4,15,3.679,G092
08CM,1,4,16,1.341,G093
08CM,1,4,17,1.965,G094
08CM,1,4,18,1.769,G095
08CM,1,4,19,1.598,G096
08CM,1,4,20,1.328,G097
08CM,1,4,21,2.222,G098
08CM,1,4,22,2.42,G099
08CM,1,4,23,2.389,G100
08CM,1,4,24,2.6,G101
08CM,1,4,25,0.95,G102
08CM,1,4,26,2.281,G103
08CM,1,5,1,2.347,G104
08CM,1,5,2,2.009,G105
08CM,1,5,3,2.385,G106
08CM,1,5,4,2.969,G107
08CM,1,5,5,2.633,G108
08CM,1,5,6,2.189,G109
08CM,1,5,7,3.629,G110
08CM,1,5,8,2.211,G009
08CM,1,5,9,3.71,G111
08CM,1,5,10,2.389,G112
08CM,1,5,11,2.492,G113
08CM,1,5,12,1.567,G114
08CM,1,5,13,1.156,G115
08CM,1,5,14,2.923,G116
08CM,1,5,15,2.042,G117
08CM,1,5,16,2.345,G118
08CM,1,5,17,3.158,G119
08CM,1,5,18,2.626,G009
08CM,1,5,19,2.618,G120
08CM,1,5,20,1.695,G121
08CM,1,5,21,1.277,G122
08CM,1,5,22,2.855,G123
08CM,1,5,23,2.484,G124
08CM,1,5,24,3.218,G125
08CM,1,5,25,2.958,G126
08CM,1,5,26,2.826,G127
08CM,1,6,1,2.259,G128
08CM,1,6,2,0.809,G129
08CM,1,6,3,2.15,G130
08CM,1,6,4,2.323,G131
08CM,1,6,5,1.789,G132
08CM,1,6,6,2.323,G133
08CM,1,6,7,1.765,G134
08CM,1,6,8,2.119,G135
08CM,1,6,9,2.477,G136
08CM,1,6,10,1.571,G137
08CM,1,6,11,2.539,G138
08CM,1,6,12,2.33,G139
08CM,1,6,13,2.226,G140
08CM,1,6,14,2.646,G141
08CM,1,6,15,3.026,G142
08CM,1,6,16,2.499,G143
08CM,1,6,17,3.35,G144
08CM,1,6,18,0.925,G145
08CM,1,6,19,2.89,G146
08CM,1,6,20,2.989,G147
08CM,1,6,21,1.965,G148
08CM,1,6,22,2.387,G149
08CM,1,6,23,2.477,G150
08CM,1,6,24,3.552,G151
08CM,1,6,25,2.121,G152
08CM,1,6,26,2.868,G153
08CM,2,7,1,2.42,G049
08CM,2,7,2,0.963,G035
08CM,2,7,3,2.264,G036
08CM,2,7,4,3.593,G006
08CM,2,7,5,1.651,G001
08CM,2,7,6,2.176,G033
